,ts_code,name,count,exchange,list_date,type
134,885629.TI,农村电商,37,A,20141224,N
135,885633.TI,染料,16,A,20150123,N
136,885640.TI,草甘膦,14,A,20150511,N
137,885641.TI,风电,278,A,20150511,N
138,885642.TI,跨境电商,206,A,20150511,N
139,885647.TI,互联网彩票,12,A,20150511,N
140,885650.TI,碳纤维,44,A,20150511,N
141,885652.TI,钛白粉概念,14,A,20150511,N
142,885657.TI,供应链金融,53,A,20150812,N
143,885661.TI,医药电商,61,A,20150812,N
144,885662.TI,车联网,133,A,20150812,N
145,885663.TI,证金持股,194,A,20150812,N
146,885675.TI,集成电路概念,231,A,20150812,N
147,885690.TI,PPP概念,173,A,20150828,N
148,885692.TI,地下管网,72,A,20150828,N
149,885694.TI,深股通,1530,A,20150911,N
150,885697.TI,深圳国企改革,31,A,20150911,N
151,885699.TI,ST板块,114,A,20150915,N
152,885700.TI,军工,510,A,20150915,N
153,885701.TI,杭州亚运会,114,A,20150916,N
154,885703.TI,健康中国,110,A,20151028,N
155,885705.TI,乡村振兴,267,A,20151104,N
156,885706.TI,农机,53,A,20151104,N
157,885709.TI,虚拟现实,267,A,20151112,N
158,885710.TI,锂电池,418,A,20151113,N
159,885728.TI,人工智能,612,A,20151202,N
160,885729.TI,参股新三板,168,A,20151229,N
161,885730.TI,量子科技,45,A,20160229,N
162,885733.TI,航运概念,36,A,20160310,N
163,885734.TI,广东自贸区,24,A,20160310,N
164,885736.TI,无人驾驶,208,A,20160318,N
165,885737.TI,电子竞技,34,A,20160401,N
166,885738.TI,OLED,126,A,20160505,N
167,885739.TI,股权转让,128,A,20161012,N
168,885740.TI,债转股(AMC概念),52,A,20161014,N
169,885741.TI,中字头股票,135,A,20161205,N
170,885742.TI,摘帽,35,A,20170302,N
171,885743.TI,军民融合,168,A,20170324,N
172,885744.TI,雄安新区,190,A,20170405,N
173,885745.TI,MSCI概念,566,A,20170622,N
174,885747.TI,共享单车,9,A,20170623,N
175,885748.TI,可燃冰,12,A,20170623,N
176,885749.TI,蚂蚁金服概念,54,A,20170623,N
177,885750.TI,特色小镇,36,A,20170623,N
178,885753.TI,网约车,18,A,20170623,N
179,885756.TI,芯片概念,484,A,20170718,N
180,885757.TI,区块链,235,A,20170803,N
181,885758.TI,租售同权,20,A,20170803,N
182,885759.TI,人脸识别,92,A,20170825,N
183,885760.TI,装配式建筑,92,A,20170918,N
184,885761.TI,超级品牌,40,A,20171031,N
185,885764.TI,自由贸易港,33,A,20171114,N
186,885765.TI,互联网医疗,106,A,20171117,N
187,885766.TI,智能交通,125,A,20171117,N
188,885767.TI,互联网保险,17,A,20171117,N
189,885768.TI,无人零售,19,A,20171117,N
190,885769.TI,细胞免疫治疗,30,A,20171117,N
191,885770.TI,智能物流,124,A,20171117,N
192,885771.TI,智能音箱,45,A,20171117,N
193,885772.TI,语音技术,22,A,20171120,N
194,885774.TI,无线充电,42,A,20171127,N
195,885775.TI,燃料电池,184,A,20171128,N
196,885779.TI,腾讯概念,159,A,20171218,N
197,885780.TI,啤酒概念,18,A,20180108,N
198,885781.TI,石墨电极,20,A,20180108,N
199,885782.TI,水泥概念,37,A,20180109,N
200,885783.TI,工业互联网,267,A,20180226,N
201,885784.TI,新零售,302,A,20180228,N
202,885785.TI,小米概念,280,A,20180306,N
203,885786.TI,富士康概念,62,A,20180306,N
204,885787.TI,独角兽概念,107,A,20180306,N
205,885788.TI,网络直播,183,A,20180312,N
206,885789.TI,宁德时代概念,220,A,20180314,N
207,885790.TI,边缘计算,165,A,20180402,N
208,885791.TI,知识产权保护,49,A,20180411,N
209,885792.TI,赛马概念,8,A,20180416,N
210,885795.TI,国产航母,35,A,20180514,N
211,885796.TI,送转填权,1,A,20180522,N
212,885797.TI,百度概念,155,A,20180612,N
213,885798.TI,燃料乙醇,5,A,20180612,N
214,885800.TI,消费电子概念,248,A,20180830,N
215,885802.TI,壳资源,63,A,20181024,N
216,885805.TI,芬太尼,6,A,20181204,N
217,885806.TI,华为概念,862,A,20181207,N
218,885808.TI,养鸡,22,A,20190212,N
219,885809.TI,柔性屏,71,A,20190219,N
220,885810.TI,大豆,12,A,20190220,N
221,885811.TI,玉米,23,A,20190220,N
222,885812.TI,农业种植,63,A,20190221,N
223,885814.TI,信托概念,24,A,20190228,N
224,885816.TI,超清视频,101,A,20190305,N
225,885818.TI,工业大麻,43,A,20190307,N
226,885819.TI,电力物联网,69,A,20190313,N
227,885820.TI,数字孪生,115,A,20190313,N
228,885823.TI,氢能源,288,A,20190319,N
229,885825.TI,冰雪产业,26,A,20190401,N
230,885827.TI,横琴新区,46,A,20190402,N
231,885829.TI,丙烯酸,10,A,20190409,N
232,885832.TI,长三角一体化,127,A,20190411,N
233,885834.TI,华为汽车,142,A,20210419,N
234,885835.TI,参股银行,155,A,20190416,N
235,885838.TI,眼科医疗,42,A,20190426,N
236,885839.TI,人造肉,21,A,20190508,N
237,885840.TI,人民币贬值受益,448,A,20190513,N
238,885842.TI,数字乡村,70,A,20190517,N
239,885843.TI,华为海思概念股,31,A,20190521,N
240,885844.TI,国产操作系统,65,A,20190522,N
241,885845.TI,生物疫苗,54,A,20190527,N
242,885846.TI,动物疫苗,17,A,20190527,N
243,885849.TI,黑龙江自贸区,40,A,20190605,N
244,885851.TI,烟草,35,A,20190617,N
245,885852.TI,青蒿素,10,A,20190618,N
246,885854.TI,垃圾分类,91,A,20190621,N
247,885856.TI,仿制药一致性评价,95,A,20190625,N
248,885860.TI,中船系,11,A,20190703,N
249,885861.TI,ETC,43,A,20190708,N
250,885863.TI,磷化工,45,A,20190715,N
251,885864.TI,光刻胶,63,A,20190718,N
252,885865.TI,钴,28,A,20190808,N
253,885866.TI,数字货币,76,A,20190918,N
254,885867.TI,标普道琼斯A股,1070,A,20190923,N
255,885868.TI,无线耳机,89,A,20191105,N
256,885869.TI,年报预增,482,A,20191115,N
257,885871.TI,胎压监测,27,A,20191205,N
258,885873.TI,分拆上市意愿,67,A,20191216,N
259,885874.TI,云游戏,25,A,20191216,N
260,885875.TI,MiniLED,80,A,20191217,N
261,885876.TI,网红经济,88,A,20191227,N
262,885877.TI,转基因,13,A,20200106,N
263,885878.TI,HJT电池,53,A,20200120,N
264,885879.TI,流感,139,A,20200121,N
265,885881.TI,云办公,42,A,20200203,N
266,885882.TI,消毒剂,56,A,20200206,N
267,885883.TI,医疗废物处理,35,A,20200207,N
268,885884.TI,航空发动机,51,A,20200219,N
269,885886.TI,超级电容,33,A,20200224,N
270,885887.TI,数据中心,253,A,20200306,N
271,885888.TI,C2M概念,39,A,20200330,N
272,885890.TI,抖音概念,128,A,20200424,N
273,885893.TI,国家大基金持股,46,A,20200520,N
274,885894.TI,海南自贸区,29,A,20200603,N
275,885895.TI,室外经济,24,A,20200603,N
276,885897.TI,中芯国际概念,67,A,20200703,N
277,885898.TI,免税店,34,A,20200706,N
278,885899.TI,新型烟草,45,A,20200708,N
279,885900.TI,NMN概念,25,A,20200716,N
280,885901.TI,可降解塑料,66,A,20200805,N
281,885902.TI,汽车拆解概念,18,A,20200805,N
282,885903.TI,环氧丙烷,14,A,20200813,N
283,885904.TI,代糖概念,23,A,20200814,N
284,885905.TI,注册制次新股,207,A,20200825,N
285,885906.TI,核准制次新股,1,A,20200824,N
286,885907.TI,科创次新股,58,A,20200824,N
287,885908.TI,第三代半导体,100,A,20200907,N
288,885909.TI,辅助生殖,60,A,20201023,N
289,885910.TI,拼多多概念,32,A,20201026,N
290,885911.TI,社区团购,38,A,20201110,N
291,885912.TI,有机硅概念,41,A,20201113,N
292,885913.TI,医美概念,70,A,20201116,N
293,885914.TI,煤炭概念,77,A,20201221,N
294,885915.TI,物业管理,104,A,20210108,N
295,885916.TI,同花顺漂亮100,100,A,20210120,N
296,885918.TI,快手概念,41,A,20210126,N
297,885919.TI,碳中和,185,A,20210302,N
298,885920.TI,光伏建筑一体化,109,A,20210309,N
299,885921.TI,储能,423,A,20210423,N
300,885922.TI,盐湖提锂,43,A,20210602,N
301,885923.TI,鸿蒙概念,128,A,20210603,N
302,885924.TI,共同富裕示范区,162,A,20210615,N
303,885925.TI,MCU芯片,49,A,20210621,N
304,885926.TI,牙科医疗,23,A,20210622,N
305,885927.TI,CRO概念,48,A,20210707,N
306,885928.TI,钠离子电池,79,A,20210715,N
307,885929.TI,专精特新,869,A,20210818,N
308,885930.TI,工业母机,92,A,20210824,N
309,885931.TI,PVDF概念,12,A,20210903,N
310,885932.TI,北交所概念,30,A,20210903,N
311,885933.TI,NFT概念,66,A,20210908,N
312,885934.TI,元宇宙,171,A,20210909,N
313,885935.TI,抽水蓄能,49,A,20210909,N
314,885936.TI,绿色电力,172,A,20210923,N
315,885937.TI,培育钻石,15,A,20211018,N
316,885938.TI,换电概念,65,A,20211019,N
317,885939.TI,海峡两岸,50,A,20211103,N
318,885940.TI,WiFi 6,44,A,20211104,N
319,885941.TI,智能制造,360,A,20211105,N
320,885942.TI,数据安全,113,A,20211129,N
321,885943.TI,EDR概念,19,A,20211206,N
322,885944.TI,动力电池回收,63,A,20211209,N
323,885945.TI,汽车芯片,73,A,20211209,N
324,885946.TI,传感器,147,A,20211210,N
325,885947.TI,DRG/DIP,14,A,20211215,N
326,885948.TI,柔性直流输电,47,A,20211216,N
327,885950.TI,虚拟数字人,115,A,20211222,N
328,885951.TI,预制菜,103,A,20220105,N
329,885952.TI,幽门螺杆菌概念,67,A,20220106,N
330,885953.TI,电子纸,19,A,20220110,N
331,885955.TI,重组蛋白,31,A,20220118,N
332,885956.TI,智慧政务,139,A,20220120,N
333,885957.TI,东数西算（算力）,164,A,20220126,N
334,885958.TI,硅能源,37,A,20220127,N
335,885959.TI,PCB概念,79,A,20220128,N
336,885960.TI,民爆概念,19,A,20220207,N
337,885961.TI,净水概念,33,A,20220214,N
338,885962.TI,土壤修复,78,A,20220218,N
339,885963.TI,智慧灯杆,44,A,20220221,N
340,885964.TI,俄乌冲突概念,69,A,20220225,N
341,885965.TI,中俄贸易概念,116,A,20220228,N
342,885966.TI,跨境支付（CIPS）,50,A,20220228,N
343,885967.TI,化肥,55,A,20220304,N
344,885968.TI,托育服务,19,A,20220307,N
345,885969.TI,金属镍,31,A,20220309,N
346,885970.TI,金属锌,24,A,20220309,N
347,885971.TI,金属铅,23,A,20220309,N
348,885972.TI,金属回收,35,A,20220309,N
349,885973.TI,金属铜,45,A,20220310,N
350,885974.TI,两轮车,24,A,20220310,N
351,885975.TI,电子身份证,37,A,20220314,N
352,885976.TI,数字经济,285,A,20220314,N
353,885977.TI,国资云,47,A,20220317,N
